Date,Close,Open,High,Low,Volume
2020-01-31,75.25894201369513,75.07913151860633,75.84042441743766,77.54236118317645,2934370400
2020-02-29,75.2429966173674,75.01183860247097,76.20580855154618,78.20282989097468,3019279200
2020-03-31,63.47262937372381,63.14118254473108,65.22572589360311,70.89409742046385,6280072400
2020-04-30,65.87714313325428,65.73813587696709,66.69828897074876,69.73801774571496,3265299200
2020-05-31,75.1249786376953,74.85854824435228,75.9164176409457,76.75821444789756,2805936000
2020-06-30,83.86035815152255,83.5535883543885,84.71850223327516,87.85289026819137,3243375600
2020-07-31,92.70182072032581,92.55752934014448,93.69179920938733,97.80294963723614,3020283200
2020-08-31,113.95220402308873,113.63208760115809,115.18192215511841,122.44371990944528,4070061100
2020-09-30,111.87591516403924,112.80280620396908,114.70470939699486,126.84590719277946,3885245100
2020-10-31,113.12750521573153,113.40048488766892,114.93633344606083,116.27298061147238,2894666500
2020-11-30,113.68654823303223,113.61130235272886,115.02274623179565,115.80188944001708,2123077300
2020-12-31,123.91117962923917,123.77489657482614,125.19392444790552,130.77356128298763,2322189600
2021-01-31,129.50502214933695,129.56752836780012,131.48420649717568,137.6169631530498,2240262000
2021-02-28,128.18966795268813,128.6683155783414,129.68607046847816,132.4508369108214,1833855600
2021-03-31,118.81318067467731,119.02384675076519,120.37345655088919,121.87312920015346,2650418200
2021-04-30,128.5052733648391,128.36832222616349,129.57627756453576,130.7447732125093,1889857500
2021-05-31,123.76964073181152,124.01458557481229,125.11081483862354,128.52195116516012,1711934900
2021-06-30,126.91278492320667,126.45468951670473,127.58972228243829,132.68558101434905,1606590000
2021-07-31,141.7378663562593,141.18215720237208,142.82464251496592,144.2383334584889,1919035100
2021-08-31,144.8826446533203,144.56303911219103,145.90754562099755,147.96554048732443,1461542800
2021-09-30,145.04731241861978,145.72773982742154,146.69924568670032,150.99742455621305,1797835100
2021-10-31,142.36519513811385,141.78583175303092,143.2011736889435,146.4300426307357,1565079200
2021-11-30,151.04541742234002,150.40702851541778,152.27270916052512,157.69201563177705,1691029000
2021-12-31,169.98682195490056,169.59771150007853,172.0236419748127,174.86183712980394,2444766700
2022-01-31,166.3714241027832,166.7044383438669,168.90477934140878,175.43968197842852,2108446000
2022-02-28,166.51813627544203,166.32716265146652,168.23928687845276,171.524663818335,1627516300
2022-03-31,162.12016760784647,161.6264044064967,163.9383026136552,173.2899367384836,2180800100
2022-04-30,163.601570892334,164.24687400236536,166.24701402003558,171.07353279095375,1687795600
2022-05-31,145.73590741838728,145.63173978031313,148.21073713663188,156.18647479117334,2401040300
2022-06-30,137.3020782470703,137.44659186961607,139.38468525712324,145.04276200731988,1749099800
2022-07-31,146.99772109985352,145.78575717594168,148.0736581045935,156.6516677769687,1447125400
2022-08-31,164.0939357591712,164.16439020725247,165.76979788923563,170.26463844345383,1510239600
2022-09-30,150.4793010893322,150.75608959717147,152.74698887056041,156.672594749297,2084722800
2022-10-31,142.62154570079986,141.7288980946646,144.37921358159795,149.41427490924212,1868139700
2022-11-30,143.64204479399183,143.8517824795831,145.7977954708636,147.74114484123723,1724847700
2022-12-31,135.82754262288412,136.67382489710658,138.08350881340652,144.43110313137328,1675731200
2023-01-31,133.76104774475098,133.11775351152633,135.23136532309837,140.95355034191297,1443652500
2023-02-28,148.86788619192023,148.1363396347557,150.17757381274268,151.3015618059057,1307198900
2023-03-31,152.89477738090184,152.39202015544987,154.27436187362053,159.7472005920429,1520266600
2023-04-30,162.84112709446958,162.24083415311242,163.70937222626034,165.63747792316207,969776400
2023-05-31,170.45705621892756,170.34615421228662,171.57278747116365,174.64007778024913,1275364700
2023-06-30,182.0731949579148,181.4761571217913,183.21410759384008,188.96618679019105,1297383300
2023-07-31,190.1038734436035,190.1977337950244,191.60119839469715,192.91818743340556,996114000
2023-08-31,179.06811589780062,179.39505584129753,180.73675604402627,192.93796352063418,1322657800
2023-09-30,175.1158348083496,175.693608903072,177.08858183728043,186.27312153245367,1337823000
2023-10-31,172.80684592507103,172.17141759906977,174.0322783168638,177.13161588848607,1172816900
2023-11-30,184.0626467750186,183.4700069262129,184.90069005660575,189.04466705374648,1099651600
2023-12-31,192.49062957763672,192.3930495460812,193.48226258966054,195.15697452600213,1063181200
2024-01-31,185.96801176525298,185.8420599640872,187.2308491696585,192.52183688964197,1187490800
2024-02-29,183.2091278076172,183.10303631541743,184.4659914836414,186.8454513829838,1161553500
2024-03-31,171.29912872314452,171.3908805565406,172.90899658493643,175.94473341504965,1433151800
2024-04-30,168.2321867509322,168.28854516078908,169.9062572498812,172.80039755418966,1246144100
2024-05-31,184.9523232199929,185.09707513084547,186.47618418506588,189.6320225414164,1336511300
2024-06-30,204.87168482730263,204.60507267259922,207.62613643546678,211.56306955662498,1717952100
2024-07-31,223.0834697376598,223.08256449842204,225.14176389711466,231.51756530413658,1153099800
2024-08-31,220.31971740722656,219.44266637738977,222.38726955943167,227.5991020536236,1122667000
2024-09-30,222.50575256347656,222.47741169315864,224.3265044882212,228.36475662569327,1232097700
2024-10-31,228.7685944930367,228.86803432541114,230.3618015513838,233.13791711516282,930736000
2024-11-30,226.72361907958984,225.64093355307378,227.98002769043484,232.91658663539664,891588300
2024-12-31,248.20030866350447,247.2133456903594,249.68217913670114,256.4700643478404,977916100
