Date,Precip_in
2024-01-01,0.14028030062619642
2024-01-02,0.6590180328421851
2024-01-03,0.0
2024-01-04,0.0
2024-01-05,0.3757291395473922
2024-01-06,0.0
2024-01-07,1.0954577625968716
2024-01-08,0.0
2024-01-09,0.0
2024-01-10,0.18657649912973773
2024-01-11,
2024-01-12,
2024-01-13,
2024-01-14,0.0
2024-01-15,0.3857564153298166
2024-01-16,0.0
2024-01-16,0.0
2024-01-17,3.3809706015167627
2024-01-18,0.0
2024-01-19,0.5326106545399638
2024-01-20,0.0
2024-01-21,0.0
2024-01-22,0.0
2024-01-23,0.0
2024-01-24,0.3014430644321542
2024-01-25,3.6093539380430655
2024-01-26,-999.0
2024-01-27,0.37082450633189146
2024-01-28,0.0
2024-01-29,0.0
2024-01-30,0.15107003552036152
2024-01-31,1.0726855561526405
2024-02-01,0.0
2024-02-02,0.0
2024-02-03,0.0
2024-02-04,0.7977496082678018
2024-02-05,0.0
2024-02-06,0.5882496741336198
2024-02-07,0.7939410059597128
2024-02-08,1.3171950803410113
2024-02-09,0.0
2024-02-10,T
2024-02-11,Sensor Error
2024-02-12,0.0
2024-02-13,0.7545055448074092
2024-02-14,0.7927612176164834
2024-02-15,0.27380712791277423
2024-02-16,0.0
2024-02-17,0.0
2024-02-18,0.0
2024-02-19,1.8064950649420621
2024-02-20,0.1684141435192676
2024-02-21,0.0
2024-02-22,0.0
2024-02-23,2.1930691124915045
2024-02-24,0.4292523216281618
2024-02-25,500.0
2024-02-26,1.609937466964848
2024-02-27,0.9547254953079003
2024-02-28,0.10112621009418085
2024-02-29,0.0
